,t,x,v_boat,alpha,omega,R,d,h,N_paddles,rho,C_paddle,C_front,m,A_front,v_water,dt,f_paddles,f_body_drag,a
4767,47.669999999999085,2.0355109107664555,0.044961219790499315,47.669999999999085,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009309303858844568,-0.010291855232906526,-0.0004912756870309792
4768,47.67999999999908,2.035960473836792,0.044956307033629,47.67999999999908,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.00961873459486268,-0.010289606244982904,-0.0003354358250601116
4769,47.68999999999908,2.0364100033635455,0.0449529526753784,47.68999999999908,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.009907166856629446,-0.010288070810236012,-0.0001904519768032827
4770,47.69999999999908,2.0368595138451018,0.04495104815561037,47.69999999999908,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01017578936053766,-0.01028719908021601,-5.570485983917486e-05
4771,47.70999999999908,2.0373090187561718,0.04495049110701198,47.70999999999908,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010425686837143976,-0.010286944116892252,6.937136012586179e-05
4772,47.719999999999075,2.037758530604378,0.044951184820613235,47.719999999999075,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010657849653572249,-0.010287261632805397,0.0001852940103834258
4773,47.72999999999907,2.0382080609819853,0.04495303776071707,47.72999999999907,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.010873182296218822,-0.010288109756056716,0.00029253627008105337
4774,47.73999999999907,2.0386576206132196,0.044955963123417875,47.73999999999907,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011072510856934167,-0.010289448817144439,0.00039153101989486405
4775,47.74999999999907,2.0391072193975557,0.044959878433616825,47.74999999999907,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011256589645000559,-0.010291241155041774,0.00048267424497939245
4776,47.75999999999907,2.0395568664493164,0.04496470517606662,47.75999999999907,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011426107029521355,-0.01029345094023905,0.0005663280446411524
4777,47.769999999999065,2.0400065701338814,0.04497036845651303,47.769999999999065,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011581690601729845,-0.010296044012752293,0.0006428232944887761
4778,47.77999999999906,2.040456338100776,0.04497679668945792,47.77999999999906,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011723911733747226,-0.010298987733339376,0.0007124620002039251
4779,47.78999999999906,2.040906177313871,0.04498392130945996,47.78999999999906,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01185328959908534,-0.010302250846369064,0.0007755193763581379
4780,47.79999999999906,2.041356094078903,0.04499167650322354,47.79999999999906,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.011970294710373289,-0.010305803352962054,0.0008322456787056174
4781,47.80999999999906,2.041806094068503,0.0449999989600106,47.80999999999906,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012075352021124683,-0.010309616393171244,0.0008828678139767192
4782,47.819999999999055,2.0422561823448846,0.04500882763815037,47.819999999999055,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01216884363065104,-0.010313662136093386,0.0009275907472788272
4783,47.82999999999905,2.042706363380341,0.045018103545623155,47.82999999999905,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012251111124351028,-0.010317913676909254,0.000966598723720887
4784,47.83999999999905,2.0431566410756696,0.04502776953286036,47.83999999999905,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012322457575578875,-0.010322344939936496,0.0010000563178211895
4785,47.84999999999905,2.04360701877663,0.04503777009603857,47.84999999999905,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012383149230322937,-0.010326930586850835,0.0010281093217360511
4786,47.85999999999905,2.044057499288523,0.04504805118925593,47.85999999999905,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012433416892486327,-0.01033164592928994,0.0010508854815981933
4787,47.869999999999045,2.044508084888964,0.04505856004407191,47.869999999999045,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012473457026414104,-0.010336466845103757,0.0010684950906551735
4788,47.87999999999904,2.0449587773389135,0.04506924499497846,47.87999999999904,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012503432595348345,-0.010341369697561132,0.0010810314488936068
4789,47.88999999999904,2.0454095778920083,0.0450800553094674,47.88999999999904,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012523473660193386,-0.010346331256872171,0.0010885712016606075
4790,47.89999999999904,2.0458604873022233,0.045090941021484005,47.89999999999904,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01253367777149456,-0.010351328623448099,0.0010911745740232303
4791,47.90999999999904,2.0463115058298955,0.04510185276722423,47.90999999999904,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012534110195735014,-0.01035633915240156,0.0010888855216667276
4792,47.919999999999035,2.0467626332461197,0.0451127416224409,47.919999999999035,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012524804019709368,-0.010361340378890051,0.0010817318204096584
4793,47.92999999999903,2.0472138688355264,0.045123558940645,47.92999999999903,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012505760168834775,-0.010366309944010626,0.001069725112412075
4794,47.93999999999903,2.047665211397444,0.04513425619176912,47.93999999999903,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012476947355942859,-0.010371225521041234,0.0010528609174508125
4795,47.94999999999903,2.048116659245453,0.045144784800943624,47.94999999999903,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012438301951734669,-0.010376064741866692,0.0010311186049339885
4796,47.95999999999903,2.0485682102053233,0.045155095986992966,47.95999999999903,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012389727745849417,-0.010380805123411488,0.0010044613112189646
4797,47.969999999999025,2.0490198616113244,0.04516514060010515,47.969999999999025,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012331095555537325,-0.010385423993834858,0.0009728357808512335
4798,47.97999999999902,2.0494716103009036,0.045174868957913665,47.97999999999902,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.01226224263842432,-0.010389898418149314,0.0009361721101375032
4799,47.98999999999902,2.0499234526076937,0.04518423067901504,47.98999999999902,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012182971872745786,-0.010394205122828442,0.0008943833749586721
4800,47.99999999999902,2.0503753843528214,0.045193174512764625,47.99999999999902,1,0.1,0.05,0.05,8,1000,1.28,1.28,2,0.0079549512883486,0,0.01,0.012093050677214478,-0.010398320418890846,0.0008473651291618159
